sequences,time_per_sequence(s),core_count
10,0.5,1
100,0.5,1
1000,0.5,1
10000,0.5,1
100000,0.5,1
1000000,0.5,1
10000000,0.5,1
100000000,0.5,1
1000000000,0.5,1
10000000000,0.5,1
10,0.5,2
100,0.5,2
1000,0.5,2
10000,0.5,2
100000,0.5,2
1000000,0.5,2
10000000,0.5,2
100000000,0.5,2
1000000000,0.5,2
10000000000,0.5,2
10,0.5,4
100,0.5,4
1000,0.5,4
10000,0.5,4
100000,0.5,4
1000000,0.5,4
10000000,0.5,4
100000000,0.5,4
1000000000,0.5,4
10000000000,0.5,4
10,0.5,8
100,0.5,8
1000,0.5,8
10000,0.5,8
100000,0.5,8
1000000,0.5,8
10000000,0.5,8
100000000,0.5,8
1000000000,0.5,8
10000000000,0.5,8
10,0.5,16
100,0.5,16
1000,0.5,16
10000,0.5,16
100000,0.5,16
1000000,0.5,16
10000000,0.5,16
100000000,0.5,16
1000000000,0.5,16
10000000000,0.5,16
10,0.5,32
100,0.5,32
1000,0.5,32
10000,0.5,32
100000,0.5,32
1000000,0.5,32
10000000,0.5,32
100000000,0.5,32
1000000000,0.5,32
10000000000,0.5,32
10,0.5,64
100,0.5,64
1000,0.5,64
10000,0.5,64
100000,0.5,64
1000000,0.5,64
10000000,0.5,64
100000000,0.5,64
1000000000,0.5,64
10000000000,0.5,64
10,0.5,128
100,0.5,128
1000,0.5,128
10000,0.5,128
100000,0.5,128
1000000,0.5,128
10000000,0.5,128
100000000,0.5,128
1000000000,0.5,128
10000000000,0.5,128
10,0.5,256
100,0.5,256
1000,0.5,256
10000,0.5,256
100000,0.5,256
1000000,0.5,256
10000000,0.5,256
100000000,0.5,256
1000000000,0.5,256
10000000000,0.5,256
10,0.5,512
100,0.5,512
1000,0.5,512
10000,0.5,512
100000,0.5,512
1000000,0.5,512
10000000,0.5,512
100000000,0.5,512
1000000000,0.5,512
10000000000,0.5,512
10,0.5,1024
100,0.5,1024
1000,0.5,1024
10000,0.5,1024
100000,0.5,1024
1000000,0.5,1024
10000000,0.5,1024
100000000,0.5,1024
1000000000,0.5,1024
10000000000,0.5,1024
